OBJECTID,ZIPCode,Cases,Deaths,TotalPop,Place,Note,RatePer10K,Shape__Area,Shape__Length
"76","27291","8","0","1538",Leasburg,,52.0156046814044,1492904663.44434,314720.365319101
"77","27292","712","6","41465",Lexington,,171.711081635114,4270233445.18579,407599.915340798
"78","27295","599","16","39191",Lexington,,152.841213543926,3631502180.53174,466742.919509858
"79","27298","158","0","10440",Liberty,,151.340996168582,2639148530.03284,431527.987760386
"80","27299","99","0","5254",Linwood,,188.427864484203,822543412.257813,203597.604040365
"81","27301","115","2","10019",Mc Leansville,,114.781914362711,900133716.655151,287107.537324028
"82","27302","474","0","32302",Mebane,,146.740139929416,3198656461.27478,644303.59427532
"83","27305","39","1","1585",Milton,,246.056782334385,687167820.539429,263836.485514183
"84","27306","162","4","5945",Mount Gilead,,272.497897392767,5305900334.83325,426306.558627535
"85","27310","82","1","8562",Oak Ridge,,95.7720158841392,526240082.103149,140986.043049622
"86","27311","26","0","3220",Pelham,,80.7453416149068,1338371966.32642,293760.993606137
"87","27312","249","21","22205",Pittsboro,,112.136906102229,5005768374.64233,617961.777569282
"88","27313","122","17","7288",Pleasant Garden,,167.398463227223,760352714.59021,181619.740165306
"89","27314","7","0","1138",Prospect Hill,,61.5114235500879,773578280.842896,162162.976448062
"90","27315","21","0","2140",Providence,,98.1308411214953,697810511.310425,179457.95829655
"91","27316","197","11","7156",Ramseur,,275.293460033538,1975410509.03577,278228.393914438
"92","27317","293","6","17851",Randleman,,164.136462943253,1700826686.43616,339539.515262609
"93","27320","442","8","38894",Reidsville,,113.64220702422,6966725984.64832,658218.836963247
"94","27325","257","2","7676",Robbins,,334.809796769151,2401051783.47894,409075.895347679
"95","27326","40","2","3692",Ruffin,,108.342361863489,1884156536.74561,359587.547530237
"96","27330","1079","11","39529",Sanford,,272.964152900402,6011213414.18433,528161.840140257
"97","27332","730","5","33549",Sanford,,217.592178604429,2996782209.29614,417113.164836099
"98","27340",,,"34",Saxapahaw,Population <500 and Cases <5,,694758.987792969,3852.87240074502
"99","27341","81","0","5820",Seagrove,,139.175257731959,2678433259.4787,311632.157547413
"100","27343","12","0","1840",Semora,,65.2173913043478,1390260353.39624,348769.311430722
"101","27344","931","22","19290",Siler City,,482.633488854329,4591228058.44531,607903.308882544
"102","27349","63","1","5850",Snow Camp,,107.692307692308,1831279532.651,381750.490582419
"103","27350","92","0","7508",Sophia,,122.535961640916,1066449848.573,204602.636460839
"104","27355","62","0","3196",Staley,,193.992490613267,1016358702.6969,245160.332752788
"105","27356","79","1","3513",Star,,224.87902077996,1815293543.21783,348288.37985576
"106","27357","94","1","8325",Stokesdale,,112.912912912913,1273124268.28796,223115.118835702
"107","27358","205","1","15960",Summerfield,,128.446115288221,1557557662.14905,323017.176053331
"108","27360","1033","11","48331",Thomasville,,213.734456146159,2458732404.91687,372395.85217249
"109","27370","191","1","14622",Trinity,,130.625085487621,1663817222.16028,344702.900725307
"110","27371","224","3","7778",Troy,,287.991771663667,4076136455.00793,473833.643450898
"111","27376","156","6","9884",West End,,157.830837717523,1781050002.06519,320932.333330313
"112","27377","142","0","9597",Whitsett,,147.962905074502,736936774.92627,183024.518653502
"113","27379","100","3","6057",Yanceyville,,165.098233448902,2663338769.75159,422550.665080929
"114","27401","362","10","20221",Greensboro,,179.021809010435,171748092.127686,100334.769337553
"115","27403","259","8","21278",Greensboro,,121.721966350221,159396286.028687,87465.2545388649
"116","27405","1064","18","52510",Greensboro,,202.628070843649,886695637.391357,284328.526421691
"117","27406","1015","42","60755",Greensboro,,167.064439140811,1894160074.00403,327705.317343953
"118","27407","938","13","49837",Greensboro,,188.213576258603,840498790.451172,227731.576408348
"119","27408","222","0","17406",Greensboro,,127.542226818339,221403500.549561,80148.1616765212
"120","27409","266","3","17953",Greensboro,,148.164652147273,603872824.646484,239783.02449594
"121","27410","576","7","56968",Greensboro,,101.109394747929,859363574.914917,272309.563854046
"122","27411","2","0","847",Greensboro,,23.6127508854782,713742.998291016,5860.23208289576
"123","27412","5","0","1886",Greensboro,,26.5111346765642,4771290.83532715,13054.7888333439
