RatePer10K,Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
65.8956428187198,355282.663136038,"1","3","14872","27006",,1744189234.37061,Advance,"98"
126.404494382022,195922.003442792,"2","0","2136","27007",,592499585.594238,Ararat,"27"
30.6435137895812,191244.647442635,"3","0","2937","27009",,618093097.011353,Belews Creek,"9"
109.037146553317,316910.589814884,"4","0","5411","27011",,1489580093.86462,Boonville,"59"
115.355391310354,255774.303165276,"5","5","28954","27012",,1176567385.86804,Clemmons,"334"
124.711316397229,379169.285246239,"6","2","6495","27013",,2066336247.98627,Cleveland,"81"
73.1452455590387,22299.1178929161,"7","0","957","27014",,21479098.032959,Cooleemee,"7"
112.960760998811,211061.413302457,"8","0","1682","27016",,1068209590.0686,Danbury,"19"
198.968312453943,566348.974052304,"9","0","9499","27017",,2962951682.04883,Dobson,"189"
122.856100231115,255811.974556888,"10","2","8221","27018",,2331567909.96985,East Bend,"101"
73.2168162494095,270248.259734795,"11","0","4234","27019",,977414017.819214,Germanton,"31"
185.124508519004,316969.486887135,"12","2","6104","27020",,2114111622.36755,Hamptonville,"113"
71.1941709772512,210392.900707099,"13","1","17979","27021",,1469376476.14172,King,"128"
46.2962962962963,200803.000966771,"14","0","1512","27022",,918745327.278442,Lawsonville,"7"
109.58904109589,183078.980128527,"15","1","12775","27023",,807172159.002075,Lewisville,"140"
78.2705926202013,278411.484773322,"16","1","2683","27024",,1265827411.39758,Lowgap,"21"
87.2537555095799,468723.596670606,"17","0","11117","27025",,2714649364.33142,Madison,"97"
49.7883993029624,172371.363079245,"18","0","4017","27027",,548179131.574585,Mayodan,"20"
129.105888227112,567238.136149725,"19","3","28039","27028",,5475621774.30664,Mocksville,"362"
144.257591456125,624989.724929863,"20","9","37641","27030",,4824085732.75671,Mount Airy,"543"
82.8897338403042,205025.773716105,"21","1","13150","27040",,763349953.536133,Pfafftown,"109"
96.0099750623441,324677.141569035,"22","0","8020","27041",,1629462738.40637,Pilot Mountain,"77"
111.111111111111,113971.243586081,"23","1","720","27042",,290758639.069458,Pine Hall,"8"
117.975783918038,395674.180712496,"24","1","6442","27043",,1935795027.06067,Pinnacle,"76"
158.614212668267,154538.589918543,"25","2","9583","27045",,666085549.25769,Rural Hall,"152"
30.7219662058372,217125.573744555,"26","0","1953","27046",,1237681699.0647,Sandy Ridge,"6"
62.5488663017983,144984.839113672,"27","0","1279","27047",,576295820.815674,Siloam,"8"
70.7706133453157,325454.766660313,"28","0","8902","27048",,2355000804.03674,Stoneville,"63"
68.5602350636631,219088.1792708,"29","0","4084","27050",,703876500.567505,Tobaccoville,"28"
100.156872209485,151066.808563308,"30","1","8287","27051",,524680317.775635,Walkertown,"83"
65.5998409700825,403203.611044297,"31","0","10061","27052",,2710320219.82117,Walnut Cove,"66"
