Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
209684.3978,584,0,905,28527,,1145978492,Ernul,0
79933.93475,585,0,640,28528,,74196560.92,Gloucester,0
159397.371,588,0,1414,28531,,96666650.42,Harkers Island,0
92182.03847,597,0,5607,28544,,155759986.5,Midway Park,0
101700.2762,598,0,4010,28545,,145247654.9,Mccutcheon Field,0
394317.8535,605,0,1150,28556,,1139666751,Merritt,0
82049.65908,615,0,595,28577,,131607264.3,Sealevel,0
233023.142,617,0,798,28579,,633080494.6,Smyrna,0
325836.9807,630,0,6449,28604,,1915326545,Banner Elk,0
419111.1874,636,0,978,28611,,2483135872,Collettsville,0
224128.287,641,0,2480,28618,,1010729766,Deep Gap,0
228052.8838,643,0,2638,28622,,922706854.8,Elk Park,0
137228.3228,672,0,715,28663,,577849850.7,Piney Creek,0
227619.3176,684,0,2122,28679,,636943392.9,Sugar Grove,0
227334.6539,696,0,1844,28698,,762471326.9,Zionville,0
241272.0338,701,0,1340,28708,,795626278.7,Balsam Grove,0
231197.3835,702,0,2308,28709,,1635213770,Barnardsville,0
658029.6524,705,0,9333,28713,,7085157295,Bryson City,0
300525.4036,709,0,1471,28717,,1160000231,Cashiers,0
243241.3942,725,0,740,28736,,845894035.6,Glenville,0
291652.5617,728,0,3135,28741,,2488322101,Highlands,0
323788.2619,729,0,2834,28742,,759756422.8,Horse Shoe,0
351331.6485,730,0,2422,28743,,2855463957,Hot Springs,0
20619.31438,731,0,598,28745,,24208240.75,Lake Junaluska,0
278687.8255,733,0,2517,28747,,1644170651,Lake Toxaway,0
732920.8076,748,0,8212,28771,,9086438704,Robbinsville,0
256613.2127,749,0,1942,28772,,577124059.1,Rosman,0
224488.6195,751,0,1569,28774,,1130246512,Sapphire,0
297913.6207,756,0,957,28781,,2402982141,Topton,0
107722.2934,776,0,1068,28909,,269492752.3,Warne,0
607903.3089,101,2,19290,27344,,4591228058,Siler City,377
288440.0868,207,30,48078,27705,,1155101567,Durham,297
327751.4891,197,8,74203,27610,,1211166912,Raleigh,278
528161.8401,96,3,39529,27330,,6011213414,Sanford,250
312495.4719,409,18,26204,28147,,2146390330,Salisbury,241
222976.4121,435,3,60256,28215,,782010510.9,Charlotte,219
132462.9008,437,0,30875,28217,,428067925.3,Charlotte,195
743040.4669,670,1,21013,28659,,2817470109,North Wilkesboro,189
192155.0452,442,5,81464,28269,,840640266.8,Charlotte,187
677983.7454,667,14,58249,28655,,9153179930,Morganton,187
504386.8043,483,3,38517,28358,,5499536726,Lumberton,179
104910.8107,425,3,51821,28205,,335820474.8,Charlotte,177
657248.9337,464,0,26951,28328,,6810728500,Clinton,169
188062.3567,43,2,21876,27203,,589408161.4,Asheboro,168
112745.9584,430,1,44704,28210,,342547124.5,Charlotte,168
483608.7151,765,31,37949,28792,,2892120004,Hendersonville,167
332965.2897,355,9,74072,28027,,1903468708,Concord,163
319111.8136,40,2,52432,27107,,1859279716,Winston Salem,162
279505.6544,407,7,25846,28144,,867982991.3,Salisbury,154
96077.3791,432,1,42744,28212,,237710291.9,Charlotte,154
297066.2553,440,3,57319,28227,,1173416755,Charlotte,153
617077.1364,487,10,17063,28365,,5449867059,Mount Olive,151
279407.9535,206,2,39369,27704,,1307759376,Durham,146
157267.5981,428,5,39944,28208,,595973347.5,Charlotte,146
184761.3165,436,2,58744,28216,,857978895.9,Charlotte,142
162252.0894,433,1,45338,28213,,412614569.6,Charlotte,140
618028.2532,495,0,43831,28376,,8255601209,Raeford,137
441390.734,288,6,40647,27893,,3134674028,Wilson,135
284328.5264,116,4,52510,27405,,886695637.4,Greensboro,134
148817.0624,154,14,16459,27536,,359552678,Henderson,132
192801.2765,444,1,40544,28273,,614626385.1,Charlotte,132
156294.9427,133,8,6935,27509,,507253453.4,Butner,128
133229.8787,65,5,25696,27260,,348441569,High Point,123
208375.8138,38,0,40186,27105,,950547784.6,Winston Salem,122
349864.1567,205,2,61351,27703,,1376809528,Durham,122
228660.826,209,1,47036,27707,,551326002.5,Durham,121
513818.5148,51,9,39111,27217,,3473433663,Burlington,118
565265.3621,695,0,13376,28697,,1810927273,Wilkesboro,117
417113.1648,97,0,33549,27332,,2996782209,Sanford,116
318461.9773,390,4,28060,28112,,3713382117,Monroe,112
345606.723,511,4,7672,28398,,2739435952,Warsaw,112
227731.5764,118,5,49837,27407,,840498790.5,Greensboro,110
224926.881,434,1,41208,28214,,965554836,Charlotte,109
307481.4908,68,6,50038,27265,,1172957282,High Point,108
201092.5056,202,1,55260,27616,,646426991.2,Raleigh,108
422255.2339,389,6,55536,28110,,3676478383,Monroe,105
588011.2325,44,2,34549,27205,,6255653515,Asheboro,102
890421.4765,243,0,57505,27834,,5082356629,Greenville,102
203893.6811,39,1,51378,27106,,787324721,Winston Salem,99
510775.8871,162,16,22436,27546,,3433026189,Lillington,99
186930.7688,215,2,53996,27713,,1004016277,Durham,97
449856.4253,151,2,40212,27530,,2938137113,Goldsboro,96
394454.1373,153,1,31819,27534,,1995982542,Goldsboro,96
239427.1243,214,17,22055,27712,,952678558.9,Durham,95
185615.2902,457,2,53642,28314,,816473670.9,Fayetteville,95
480450.415,500,0,12414,28384,,2850567241,Saint Pauls,95
466742.9195,78,9,39191,27295,,3631502181,Lexington,93
466210.8161,354,3,55325,28025,,2992149162,Concord,93
278013.8408,387,6,45346,28105,,668165195.8,Matthews,93
374945.8515,142,14,43958,27520,,1962402119,Clayton,92
194088.1212,191,1,47645,27604,,550434833,Raleigh,91
144850.6751,445,5,72020,28277,,675381884.7,Charlotte,91
372395.8522,108,0,48331,27360,,2458732405,Thomasville,90
617961.7776,87,17,22205,27312,,5005768375,Pittsboro,89
186465.4162,449,1,39651,28304,,491742944.2,Fayetteville,89
213438.3757,41,1,38510,27127,,820319160.9,Winston Salem,88
219250.0126,161,13,30327,27545,,885541868.8,Knightdale,88
1071472.478,609,2,38009,28562,,3853792240,New Bern,88
817297.0285,163,20,25224,27549,,6636124442,Louisburg,87
159979.4124,441,0,43683,28262,,593648477.6,Charlotte,85
130394.1343,37,1,29383,27104,,337669863.7,Winston Salem,81
151594.5921,356,14,31049,28031,,672168572.3,Cornelius,80
527051.9262,568,4,21016,28504,,3402165917,Kinston,80
326624.5387,477,3,3955,28349,,1959246505,Kenansville,77
446034.0022,496,0,13036,28377,,2872865768,Red Springs,77
146399.5612,36,1,36071,27103,,527249856.7,Winston Salem,75
190879.9853,137,15,32847,27514,,579057212.7,Chapel Hill,73
700749.8418,182,3,74087,27587,,3132804735,Wake Forest,73
720925.1991,291,7,40958,27909,,6356628470,Elizabeth City,73
489113.8668,555,9,9865,28463,,3441446536,Tabor City,72
530150.8514,282,5,21595,27886,,5534275752,Tarboro,71
486165.0842,497,1,25804,28379,,4156662320,Rockingham,71
826827.2228,172,0,26057,27565,,9219811780,Oxford,70
836470.753,563,3,20002,28472,,5336860792,Whiteville,69
795404.9063,155,3,25321,27537,,5545289734,Henderson,67
237805.7194,218,0,29160,27804,,1207912398,Rocky Mount,67
171087.8644,66,1,24764,27262,,368730084.7,High Point,66
316647.6488,372,3,66079,28078,,1870251820,Huntersville,66
674832.6911,406,2,20134,28139,,5078697343,Rutherfordton,65
123544.2734,764,8,15811,28791,,466838231.1,Hendersonville,65
327705.3173,117,9,60755,27406,,1894160074,Greensboro,64
562860.4889,451,2,42565,28306,,2090603260,Fayetteville,63
420748.0801,74,1,56201,27284,,2233069317,Kernersville,62
