RatePer10K,Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
69.2576654115116,355282.663136038,"1","3","14872","27006",,1744189234.37061,Advance,"103"
135.767790262172,195922.003442792,"2","0","2136","27007",,592499585.594238,Ararat,"29"
30.6435137895812,191244.647442635,"3","0","2937","27009",,618093097.011353,Belews Creek,"9"
121.973757161338,316910.589814884,"4","0","5411","27011",,1489580093.86462,Boonville,"66"
129.515783656835,255774.303165276,"5","7","28954","27012",,1176567385.86804,Clemmons,"375"
132.409545804465,379169.285246239,"6","2","6495","27013",,2066336247.98627,Cleveland,"86"
73.1452455590387,22299.1178929161,"7","0","957","27014",,21479098.032959,Cooleemee,"7"
112.960760998811,211061.413302457,"8","0","1682","27016",,1068209590.0686,Danbury,"19"
206.337509211496,566348.974052304,"9","1","9499","27017",,2962951682.04883,Dobson,"196"
132.587276487045,255811.974556888,"10","2","8221","27018",,2331567909.96985,East Bend,"109"
77.9404818138876,270248.259734795,"11","0","4234","27019",,977414017.819214,Germanton,"33"
204.78374836173,316969.486887135,"12","2","6104","27020",,2114111622.36755,Hamptonville,"125"
80.0934423494077,210392.900707099,"13","1","17979","27021",,1469376476.14172,King,"144"
66.1375661375661,200803.000966771,"14","0","1512","27022",,918745327.278442,Lawsonville,"10"
116.634050880626,183078.980128527,"15","1","12775","27023",,807172159.002075,Lewisville,"149"
81.9977636973537,278411.484773322,"16","1","2683","27024",,1265827411.39758,Lowgap,"22"
181.703697040569,468723.596670606,"17","0","11117","27025",,2714649364.33142,Madison,"202"
77.1720189195917,172371.363079245,"18","0","4017","27027",,548179131.574585,Mayodan,"31"
139.091979029209,567238.136149725,"19","3","28039","27028",,5475621774.30664,Mocksville,"390"
157.540979251348,624989.724929863,"20","10","37641","27030",,4824085732.75671,Mount Airy,"593"
89.7338403041825,205025.773716105,"21","1","13150","27040",,763349953.536133,Pfafftown,"118"
99.7506234413965,324677.141569035,"22","0","8020","27041",,1629462738.40637,Pilot Mountain,"80"
125,113971.243586081,"23","1","720","27042",,290758639.069458,Pine Hall,"9"
121.080409810618,395674.180712496,"24","1","6442","27043",,1935795027.06067,Pinnacle,"78"
166.962329124491,154538.589918543,"25","2","9583","27045",,666085549.25769,Rural Hall,"160"
61.4439324116743,217125.573744555,"26","0","1953","27046",,1237681699.0647,Sandy Ridge,"12"
