RatePer10K,Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
87.4125874125874,355282.663136038,"1","3","14872","27006",,1744189234.37061,Advance,"130"
149.812734082397,195922.003442792,"2","0","2136","27007",,592499585.594238,Ararat,"32"
54.4773578481444,191244.647442635,"3","0","2937","27009",,618093097.011353,Belews Creek,"16"
147.846978377379,316910.589814884,"4","1","5411","27011",,1489580093.86462,Boonville,"80"
150.929059888098,255774.303165276,"5","12","28954","27012",,1176567385.86804,Clemmons,"437"
167.821401077752,379169.285246239,"6","3","6495","27013",,2066336247.98627,Cleveland,"109"
73.1452455590387,22299.1178929161,"7","0","957","27014",,21479098.032959,Cooleemee,"7"
130.796670630202,211061.413302457,"8","0","1682","27016",,1068209590.0686,Danbury,"22"
225.286872302348,566348.974052304,"9","1","9499","27017",,2962951682.04883,Dobson,"214"
145.967643838949,255811.974556888,"10","2","8221","27018",,2331567909.96985,East Bend,"120"
96.8351440717997,270248.259734795,"11","0","4234","27019",,977414017.819214,Germanton,"41"
234.272608125819,316969.486887135,"12","2","6104","27020",,2114111622.36755,Hamptonville,"143"
93.998553868402,210392.900707099,"13","1","17979","27021",,1469376476.14172,King,"169"
85.978835978836,200803.000966771,"14","0","1512","27022",,918745327.278442,Lawsonville,"13"
125.244618395303,183078.980128527,"15","1","12775","27023",,807172159.002075,Lewisville,"160"
96.9064480059635,278411.484773322,"16","1","2683","27024",,1265827411.39758,Lowgap,"26"
241.07223171719,468723.596670606,"17","2","11117","27025",,2714649364.33142,Madison,"268"
141.896938013443,172371.363079245,"18","0","4017","27027",,548179131.574585,Mayodan,"57"
157.994222333179,567238.136149725,"19","3","28039","27028",,5475621774.30664,Mocksville,"443"
177.466060944183,624989.724929863,"20","12","37641","27030",,4824085732.75671,Mount Airy,"668"
101.140684410646,205025.773716105,"21","1","13150","27040",,763349953.536133,Pfafftown,"133"
108.478802992519,324677.141569035,"22","0","8020","27041",,1629462738.40637,Pilot Mountain,"87"
208.333333333333,113971.243586081,"23","1","720","27042",,290758639.069458,Pine Hall,"15"
138.155852219808,395674.180712496,"24","1","6442","27043",,1935795027.06067,Pinnacle,"89"
180.528018365856,154538.589918543,"25","3","9583","27045",,666085549.25769,Rural Hall,"173"
92.1658986175115,217125.573744555,"26","1","1953","27046",,1237681699.0647,Sandy Ridge,"18"
70.3674745895231,144984.839113672,"27","0","1279","27047",,576295820.815674,Siloam,"9"
119.074365311166,325454.766660313,"28","0","8902","27048",,2355000804.03674,Stoneville,"106"
88.1488736532811,219088.1792708,"29","0","4084","27050",,703876500.567505,Tobaccoville,"36"
130.324604802703,151066.808563308,"30","1","8287","27051",,524680317.775635,Walkertown,"108"
105.35732034589,403203.611044297,"31","0","10061","27052",,2710320219.82117,Walnut Cove,"106"
69.7084917617237,413464.446930882,"32","0","3156","27053",,2152815477.55933,Westfield,"22"
172.546012269939,201172.963339102,"33","0","2608","27054",,778193820.583862,Woodleaf,"45"
221.747813511466,403366.49229781,"34","2","14521","27055",,3115987965.39453,Yadkinville,"322"
134.862875704124,162957.922513793,"35","12","24321","27101",,356085731.400146,Winston Salem,"328"
171.605999279199,146399.561156354,"36","17","36071","27103",,527249856.672729,Winston Salem,"619"
157.914440322636,130394.134288752,"37","11","29383","27104",,337669863.683838,Winston Salem,"464"
262.280396157866,208375.813794777,"38","9","40186","27105",,950547784.577881,Winston Salem,"1054"
168.943905951964,203893.681115083,"39","9","51378","27106",,787324720.967285,Winston Salem,"868"
233.635947512969,319111.813640457,"40","15","52432","27107",,1859279716.41162,Winston Salem,"1225"
214.489742923916,213438.375685158,"41","6","38510","27127",,820319160.873047,Winston Salem,"826"
,4216.57245655308,"42","0","5","27157",,827769.094482422,Winston Salem,"10"
354.269519107698,188062.356665824,"43","19","21876","27203",,589408161.410522,Asheboro,"775"
199.716344901444,588011.232518038,"44","12","34549","27205",,6255653514.79199,Asheboro,"690"
257.488176563321,473699.237818467,"45","1","3806","27207",,2300194678.82397,Bear Creek,"98"
254.287403903016,215638.108979383,"46","0","1691","27208",,1029479783.1405,Bennett,"43"
775.716694772344,259108.004034657,"47","20","4151","27209",,1198089302.20734,Biscoe,"322"
600,277007.39975067,"48","0","1600","27212",,1328181375.12305,Blanch,"96"
122.584489656934,324969.092830869,"49","1","11747","27214",,1414533235.94788,Browns Summit,"144"
187.33850129199,298200.358945539,"50","8","44892","27215",,1827823774.30115,Burlington,"841"
373.040832502365,513818.51476852,"51","37","39111","27217",,3473433663.33496,Burlington,"1459"
548.081714000997,367384.611313313,"52","6","4014","27229",,2747739848.89313,Candor,"220"
92.7734375,209108.769362036,"53","0","2048","27231",,987771348.581177,Cedar Grove,"19"
54.839594187003,187154.002103638,"54","0","3647","27233",,703252829.253662,Climax,"20"
137.704918032787,148521.339190303,"55","0","4575","27235",,380654027.583252,Colfax,"63"
118.392356423305,429373.198159064,"56","3","9629","27239",,4319759872.9696,Denton,"114"
202.3988005997,321391.030328654,"57","0","2668","27242",,1480408484.01825,Eagle Springs,"54"
141.479099678457,311755.144165646,"58","1","4665","27243",,1142332751.10315,Efland,"66"
139.614982471247,399696.340130384,"59","2","16259","27244",,1541989025.453,Elon,"227"
132.368148914168,215710.992817749,"60","2","4835","27248",,942909114.352783,Franklinville,"64"
125.795582178959,397477.611919868,"61","2","13355","27249",,1679803774.77087,Gibsonville,"168"
61.8374558303887,220926.147155476,"62","1","2264","27252",,1142470673.17163,Goldston,"14"
284.769895753877,521476.969804177,"63","5","31464","27253",,2351372927.78931,Graham,"896"
208.010335917313,312686.877842211,"64","2","7740","27258",,473631125.268677,Haw River,"161"
230.386052303861,133229.878739789,"65","14","25696","27260",,348441568.963501,High Point,"592"
199.483120659021,171087.864383377,"66","6","24764","27262",,368730084.700928,High Point,"494"
194.444444444444,249658.228757679,"67","5","22320","27263",,1121512604.52234,High Point,"434"
148.287301650745,307481.490778656,"68","21","50038","27265",,1172957282.41284,High Point,"742"
277.286135693215,8251.66869064816,"69","0","1695","27268",,2495618.64758301,High Point,"47"
125.087377212023,502574.675043234,"70","1","27181","27278",,2885765742.02771,Hillsborough,"340"
167.11590296496,479969.724586594,"71","0","3710","27281",,2095606802.2608,Jackson Springs,"62"
133.156594565283,168803.970950205,"72","3","16597","27282",,404066994.873657,Jamestown,"221"
137.491616364856,161239.518798817,"73","1","2982","27283",,711286368.914917,Julian,"41"
141.278624935499,420748.080109325,"74","8","56201","27284",,2233069317.10205,Kernersville,"794"
146.27941488234,304615.616752016,"75","3","23585","27288",,1951079100.05676,Eden,"345"
26.0078023407022,314720.365319101,"76","0","1538","27291",,1492904663.44434,Leasburg,"4"
169.058241890751,407599.915340798,"77","6","41465","27292",,4270233445.18579,Lexington,"701"
150.034446684188,466742.919509858,"78","16","39191","27295",,3631502180.53174,Lexington,"588"
152.298850574713,431527.987760386,"79","0","10440","27298",,2639148530.03284,Liberty,"159"
177.007993909402,203597.604040365,"80","0","5254","27299",,822543412.257813,Linwood,"93"
112.785707156403,287107.537324028,"81","2","10019","27301",,900133716.655151,Mc Leansville,"113"
144.882669803727,644303.59427532,"82","0","32302","27302",,3198656461.27478,Mebane,"468"
246.056782334385,263836.485514183,"83","1","1585","27305",,687167820.539429,Milton,"39"
269.133725820017,426306.558627535,"84","3","5945","27306",,5305900334.83325,Mount Gilead,"160"
93.4361130576968,140986.043049622,"85","1","8562","27310",,526240082.103149,Oak Ridge,"80"
71.4285714285714,293760.993606137,"86","0","3220","27311",,1338371966.32642,Pelham,"23"
111.686557081738,617961.777569282,"87","21","22205","27312",,5005768374.64233,Pittsboro,"248"
174.259055982437,181619.740165306,"88","17","7288","27313",,760352714.59021,Pleasant Garden,"127"
61.5114235500879,162162.976448062,"89","0","1138","27314",,773578280.842896,Prospect Hill,"7"
88.785046728972,179457.95829655,"90","0","2140","27315",,697810511.310425,Providence,"19"
273.896031302404,278228.393914438,"91","11","7156","27316",,1975410509.03577,Ramseur,"196"
160.215113999216,339539.515262609,"92","6","17851","27317",,1700826686.43616,Randleman,"286"
110.814007301897,658218.836963247,"93","8","38894","27320",,6966725984.64832,Reidsville,"431"
332.204273058885,409075.895347679,"94","2","7676","27325",,2401051783.47894,Robbins,"255"
108.342361863489,359587.547530237,"95","2","3692","27326",,1884156536.74561,Ruffin,"40"
271.193301120696,528161.840140257,"96","11","39529","27330",,6011213414.18433,Sanford,"1072"
215.505678261647,417113.164836099,"97","5","33549","27332",,2996782209.29614,Sanford,"723"
,3852.87240074502,"98",,"34","27340",Population <500 and Cases <5,694758.987792969,Saxapahaw,
140.893470790378,311632.157547413,"99","0","5820","27341",,2678433259.4787,Seagrove,"82"
65.2173913043478,348769.311430722,"100","0","1840","27343",,1390260353.39624,Semora,"12"
478.486262312079,607903.308882544,"101","22","19290","27344",,4591228058.44531,Siler City,"923"
105.982905982906,381750.490582419,"102","1","5850","27349",,1831279532.651,Snow Camp,"62"
121.204049014385,204602.636460839,"103","0","7508","27350",,1066449848.573,Sophia,"91"
187.734668335419,245160.332752788,"104","0","3196","27355",,1016358702.6969,Staley,"60"
224.87902077996,348288.37985576,"105","1","3513","27356",,1815293543.21783,Star,"79"
109.309309309309,223115.118835702,"106","1","8325","27357",,1273124268.28796,Stokesdale,"91"
124.06015037594,323017.176053331,"107","1","15960","27358",,1557557662.14905,Summerfield,"198"
209.80323188016,372395.85217249,"108","11","48331","27360",,2458732404.91687,Thomasville,"1014"
127.205580631924,344702.900725307,"109","1","14622","27370",,1663817222.16028,Trinity,"186"
287.991771663667,473833.643450898,"110","3","7778","27371",,4076136455.00793,Troy,"224"
157.830837717523,320932.333330313,"111","6","9884","27376",,1781050002.06519,West End,"156"
143.794935917474,183024.518653502,"112","0","9597","27377",,736936774.92627,Whitsett,"138"
