Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
355282.663136038,"1","2","14872","27006",,1744189234.37061,Advance,"10"
195922.003442792,"2","0","2136","27007",,592499585.594238,Ararat,"1"
191244.647442635,"3","0","2937","27009",,618093097.011353,Belews Creek,"2"
316910.589814884,"4","0","5411","27011",,1489580093.86462,Boonville,"7"
255774.303165276,"5","0","28954","27012",,1176567385.86804,Clemmons,"19"
379169.285246239,"6","0","6495","27013",,2066336247.98627,Cleveland,"10"
22299.1178929161,"7","0","957","27014",,21479098.032959,Cooleemee,"0"
211061.413302456,"8","0","1682","27016",,1068209590.0686,Danbury,"0"
566348.974052304,"9","0","9499","27017",,2962951682.04883,Dobson,"5"
255811.974556888,"10","1","8221","27018",,2331567909.96985,East Bend,"8"
270248.259734795,"11","0","4234","27019",,977414017.819214,Germanton,"2"
316969.486887135,"12","0","6104","27020",,2114111622.36755,Hamptonville,"6"
210392.900707099,"13","0","17979","27021",,1469376476.14172,King,"3"
200803.000966771,"14","0","1512","27022",,918745327.278442,Lawsonville,"0"
183078.980128527,"15","1","12775","27023",,807172159.002075,Lewisville,"22"
278411.484773322,"16","0","2683","27024",,1265827411.39758,Lowgap,"2"
468723.596670606,"17","0","11117","27025",,2714649364.33142,Madison,"5"
172371.363079245,"18","0","4017","27027",,548179131.574585,Mayodan,"0"
567238.136149725,"19","0","28039","27028",,5475621774.30664,Mocksville,"22"
624989.724929863,"20","1","37641","27030",,4824085732.75671,Mount Airy,"18"
205025.773716105,"21","0","13150","27040",,763349953.536133,Pfafftown,"7"
324677.141569035,"22","0","8020","27041",,1629462738.40637,Pilot Mountain,"2"
113971.243586081,"23","0","720","27042",,290758639.069458,Pine Hall,"2"
395674.180712495,"24","0","6442","27043",,1935795027.06067,Pinnacle,"3"
154538.589918543,"25","0","9583","27045",,666085549.25769,Rural Hall,"5"
217125.573744555,"26","0","1953","27046",,1237681699.0647,Sandy Ridge,"0"
144984.839113672,"27","0","1279","27047",,576295820.815674,Siloam,"1"
325454.766660313,"28","0","8902","27048",,2355000804.03674,Stoneville,"5"
219088.1792708,"29","0","4084","27050",,703876500.567505,Tobaccoville,"1"
151066.808563308,"30","0","8287","27051",,524680317.775635,Walkertown,"7"
403203.611044297,"31","0","10061","27052",,2710320219.82117,Walnut Cove,"5"
413464.446930882,"32","0","3156","27053",,2152815477.55933,Westfield,"0"
201172.963339102,"33","0","2608","27054",,778193820.583862,Woodleaf,"1"
403366.492297811,"34","0","14521","27055",,3115987965.39453,Yadkinville,"24"
162957.922513792,"35","0","24321","27101",,356085731.400146,Winston Salem,"16"
146399.561156354,"36","1","36071","27103",,527249856.672729,Winston Salem,"46"
130394.134288752,"37","1","29383","27104",,337669863.683838,Winston Salem,"67"
208375.813794777,"38","0","40186","27105",,950547784.577881,Winston Salem,"33"
203893.681115083,"39","1","51378","27106",,787324720.967285,Winston Salem,"33"
319111.813640457,"40","1","52432","27107",,1859279716.41162,Winston Salem,"69"
213438.375685158,"41","0","38510","27127",,820319160.873047,Winston Salem,"36"
4216.57245655308,"42",,"5","27157",Population <500 and Cases <5,827769.094482422,Winston Salem,
188062.356665824,"43","1","21876","27203",,589408161.410522,Asheboro,"97"
588011.232518036,"44","2","34549","27205",,6255653514.79199,Asheboro,"64"
473699.237818467,"45","0","3806","27207",,2300194678.82397,Bear Creek,"11"
215638.108979383,"46","0","1691","27208",,1029479783.1405,Bennett,"7"
259108.004034657,"47","2","4151","27209",,1198089302.20734,Biscoe,"15"
277007.399750669,"48","0","1600","27212",,1328181375.12305,Blanch,"15"
324969.09283087,"49","1","11747","27214",,1414533235.94788,Browns Summit,"6"
298200.358945539,"50","3","44892","27215",,1827823774.30115,Burlington,"26"
513818.51476852,"51","1","39111","27217",,3473433663.33496,Burlington,"67"
367384.611313312,"52","0","4014","27229",,2747739848.89313,Candor,"6"
209108.769362036,"53","0","2048","27231",,987771348.581177,Cedar Grove,"0"
187154.002103638,"54","0","3647","27233",,703252829.253662,Climax,"1"
148521.339190303,"55","0","4575","27235",,380654027.583252,Colfax,"0"
429373.198159064,"56","0","9629","27239",,4319759872.9696,Denton,"11"
321391.030328654,"57","0","2668","27242",,1480408484.01825,Eagle Springs,"0"
311755.144165646,"58","0","4665","27243",,1142332751.10315,Efland,"7"
399696.340130384,"59","0","16259","27244",,1541989025.453,Elon,"2"
215710.992817749,"60","0","4835","27248",,942909114.352783,Franklinville,"10"
397477.611919868,"61","0","13355","27249",,1679803774.77087,Gibsonville,"5"
220926.147155476,"62","1","2264","27252",,1142470673.17163,Goldston,"4"
521476.969804176,"63","0","31464","27253",,2351372927.78931,Graham,"28"
312686.877842212,"64","0","7740","27258",,473631125.268677,Haw River,"5"
133229.878739789,"65","5","25696","27260",,348441568.963501,High Point,"91"
171087.864383377,"66","1","24764","27262",,368730084.700928,High Point,"35"
249658.228757679,"67","0","22320","27263",,1121512604.52234,High Point,"25"
307481.490778656,"68","4","50038","27265",,1172957282.41284,High Point,"69"
