RatePer10K,Shape__Length,OBJECTID,Deaths,TotalPop,ZIPCode,Note,Shape__Area,Place,Cases
42.361484669177,355282.663136038,"1","3","14872","27006",,1744189234.37061,Advance,"63"
84.2696629213483,195922.003442792,"2","0","2136","27007",,592499585.594238,Ararat,"18"
27.2386789240722,191244.647442635,"3","0","2937","27009",,618093097.011353,Belews Creek,"8"
81.3158381075587,316910.589814884,"4","0","5411","27011",,1489580093.86462,Boonville,"44"
74.9464668094219,255774.303165276,"5","0","28954","27012",,1176567385.86804,Clemmons,"217"
80.0615858352579,379169.285246239,"6","2","6495","27013",,2066336247.98627,Cleveland,"52"
41.7972831765935,22299.1178929161,"7","0","957","27014",,21479098.032959,Cooleemee,"4"
23.7812128418549,211061.413302457,"8","0","1682","27016",,1068209590.0686,Danbury,"4"
169.491525423729,566348.974052304,"9","0","9499","27017",,2962951682.04883,Dobson,"161"
100.960953655273,255811.974556888,"10","2","8221","27018",,2331567909.96985,East Bend,"83"
56.6839867737364,270248.259734795,"11","0","4234","27019",,977414017.819214,Germanton,"24"
126.146788990826,316969.486887135,"12","2","6104","27020",,2114111622.36755,Hamptonville,"77"
53.9518326936982,210392.900707099,"13","1","17979","27021",,1469376476.14172,King,"97"
19.8412698412698,200803.000966771,"14","0","1512","27022",,918745327.278442,Lawsonville,"3"
75.9295499021526,183078.980128527,"15","1","12775","27023",,807172159.002075,Lewisville,"97"
44.7260529258293,278411.484773322,"16","0","2683","27024",,1265827411.39758,Lowgap,"12"
28.7847440856346,468723.596670606,"17","0","11117","27025",,2714649364.33142,Madison,"32"
27.3836196166293,172371.363079245,"18","0","4017","27027",,548179131.574585,Mayodan,"11"
82.3852491173009,567238.136149725,"19","0","28039","27028",,5475621774.30664,Mocksville,"231"
94.8433888578943,624989.724929863,"20","3","37641","27030",,4824085732.75671,Mount Airy,"357"
54.7528517110266,205025.773716105,"21","0","13150","27040",,763349953.536133,Pfafftown,"72"
64.8379052369077,324677.141569035,"22","0","8020","27041",,1629462738.40637,Pilot Mountain,"52"
69.4444444444444,113971.243586081,"23","1","720","27042",,290758639.069458,Pine Hall,"5"
76.0633343682086,395674.180712496,"24","0","6442","27043",,1935795027.06067,Pinnacle,"49"
103.307941145779,154538.589918543,"25","1","9583","27045",,666085549.25769,Rural Hall,"99"
25.6016385048643,217125.573744555,"26","0","1953","27046",,1237681699.0647,Sandy Ridge,"5"
54.7302580140735,144984.839113672,"27","0","1279","27047",,576295820.815674,Siloam,"7"
37.0703212761177,325454.766660313,"28","0","8902","27048",,2355000804.03674,Stoneville,"33"
51.4201762977473,219088.1792708,"29","0","4084","27050",,703876500.567505,Tobaccoville,"21"
72.4025582237239,151066.808563308,"30","0","8287","27051",,524680317.775635,Walkertown,"60"
45.7211012821787,403203.611044297,"31","0","10061","27052",,2710320219.82117,Walnut Cove,"46"
38.0228136882129,413464.446930882,"32","0","3156","27053",,2152815477.55933,Westfield,"12"
115.030674846626,201172.963339102,"33","0","2608","27054",,778193820.583862,Woodleaf,"30"
143.240823634736,403366.49229781,"34","2","14521","27055",,3115987965.39453,Yadkinville,"208"
74.8324493236298,162957.922513793,"35","0","24321","27101",,356085731.400146,Winston Salem,"182"
105.070555293726,146399.561156354,"36","9","36071","27103",,527249856.672729,Winston Salem,"379"
106.183847803151,130394.134288752,"37","4","29383","27104",,337669863.683838,Winston Salem,"312"
196.088189916886,208375.813794777,"38","5","40186","27105",,950547784.577881,Winston Salem,"788"
105.687259138153,203893.681115083,"39","4","51378","27106",,787324720.967285,Winston Salem,"543"
170.697284101312,319111.813640457,"40","7","52432","27107",,1859279716.41162,Winston Salem,"895"
151.648922357829,213438.375685158,"41","5","38510","27127",,820319160.873047,Winston Salem,"584"
18000,4216.57245655308,"42","0","5","27157",,827769.094482422,Winston Salem,"9"
260.55951727921,188062.356665824,"43","15","21876","27203",,589408161.410522,Asheboro,"570"
141.827549277837,588011.232518038,"44","4","34549","27205",,6255653514.79199,Asheboro,"490"
139.253809774041,473699.237818467,"45","1","3806","27207",,2300194678.82397,Bear Creek,"53"
100.53222945003,215638.108979383,"46","0","1691","27208",,1029479783.1405,Bennett,"17"
366.176824861479,259108.004034657,"47","8","4151","27209",,1198089302.20734,Biscoe,"152"
293.75,277007.39975067,"48","0","1600","27212",,1328181375.12305,Blanch,"47"
65.5486507193326,324969.092830869,"49","1","11747","27214",,1414533235.94788,Browns Summit,"77"
88.8799786153435,298200.358945539,"50","4","44892","27215",,1827823774.30115,Burlington,"399"
212.216511978727,513818.51476852,"51","34","39111","27217",,3473433663.33496,Burlington,"830"
264.075734927753,367384.611313313,"52","0","4014","27229",,2747739848.89313,Candor,"106"
39.0625,209108.769362036,"53","0","2048","27231",,987771348.581177,Cedar Grove,"8"
32.9037565122018,187154.002103638,"54","0","3647","27233",,703252829.253662,Climax,"12"
45.9016393442623,148521.339190303,"55","0","4575","27235",,380654027.583252,Colfax,"21"
50.8879426731748,429373.198159064,"56","3","9629","27239",,4319759872.9696,Denton,"49"
63.7181409295352,321391.030328654,"57","0","2668","27242",,1480408484.01825,Eagle Springs,"17"
92.1757770632369,311755.144165646,"58","1","4665","27243",,1142332751.10315,Efland,"43"
35.672550587367,399696.340130384,"59","0","16259","27244",,1541989025.453,Elon,"58"
74.4570837642192,215710.992817749,"60","1","4835","27248",,942909114.352783,Franklinville,"36"
61.4002246349682,397477.611919868,"61","0","13355","27249",,1679803774.77087,Gibsonville,"82"
